hero0,hero1,hero2,hero3,hero4,hero5,hero6,hero7,hero8,hero9,radiant_win
104,88,81,26,106,23,14,56,112,109,True
52,44,129,18,39,99,14,35,16,11,False
2,16,86,12,112,75,74,55,68,41,True
70,27,25,51,14,5,8,54,97,23,True
100,121,97,67,49,73,41,47,87,123,True
129,30,59,11,6,95,101,121,48,38,False
123,6,74,58,88,83,27,41,34,99,False
41,64,43,9,120,98,13,71,121,93,False
74,104,70,19,26,72,31,17,71,14,True
96,31,68,13,54,63,29,112,84,35,False
74,33,88,7,41,49,54,6,2,34,True
94,98,71,20,6,70,101,14,75,73,True
109,2,21,46,37,86,94,52,120,111,True
27,109,22,85,62,71,1,31,75,47,True
67,2,126,123,5,69,85,21,37,48,True
74,73,123,26,96,85,40,11,33,1,False
46,67,49,68,111,90,86,19,92,30,True
43,135,9,114,6,32,87,8,64,36,False
7,119,12,49,5,68,19,15,9,84,True
11,6,28,101,105,12,76,102,98,34,False
102,11,56,87,62,51,22,2,14,1,False
56,14,43,21,30,32,128,51,102,35,True
66,7,8,36,26,9,32,44,75,102,False
70,7,15,26,21,2,91,30,5,93,True
8,121,120,101,99,25,98,85,11,44,True
6,26,2,11,119,20,64,43,41,16,True
4,34,94,50,119,113,31,28,10,71,True
41,45,99,25,35,93,19,31,38,106,True
8,1,41,104,74,62,11,56,105,83,True
121,41,79,60,46,101,16,27,40,48,False
108,41,114,119,37,70,101,49,96,123,False
71,51,84,35,18,94,99,90,14,95,False
48,71,135,74,63,17,21,93,69,31,True
12,120,19,74,68,126,49,87,103,48,False
27,44,101,17,48,57,5,67,29,13,False
79,25,74,103,60,37,42,11,82,26,False
31,109,102,84,17,85,27,8,33,37,False
62,74,114,20,16,63,105,47,68,14,True
121,2,75,28,48,84,51,25,70,32,True
128,97,112,109,15,74,21,94,50,14,False
7,33,81,46,90,54,11,123,74,14,True
75,46,6,102,47,66,26,95,1,42,True
123,76,97,40,8,19,128,61,7,67,True
23,123,47,85,72,30,86,69,9,8,False
37,18,8,14,47,26,16,70,62,21,False
85,35,8,72,40,71,36,74,26,48,False
50,17,103,6,107,109,9,27,2,4,False
1,11,48,20,6,51,83,4,79,42,True
2,126,104,27,14,63,74,61,8,34,True
120,57,19,83,97,123,50,76,91,45,False
41,35,6,9,46,106,37,8,88,87,True
42,73,109,44,10,48,66,67,29,53,True
55,53,46,94,3,70,57,14,123,83,False
44,14,114,121,81,123,23,64,92,70,False
105,6,22,7,55,104,68,35,81,64,True
46,67,123,68,107,86,108,26,1,25,False
74,49,111,72,119,75,109,21,52,5,False
5,14,26,42,41,98,6,71,22,54,True
7,121,105,6,14,2,22,26,8,81,False
64,76,12,50,96,62,112,49,14,23,True
35,113,20,31,56,88,59,3,42,14,False
26,7,8,56,50,12,30,11,84,112,False
20,64,63,47,123,8,16,88,104,65,False
1,21,51,30,14,75,5,8,93,34,False
10,7,50,96,106,104,8,83,111,113,False
35,23,39,58,83,47,49,44,121,29,True
11,31,72,26,49,90,89,112,13,40,False
126,54,30,104,87,29,67,15,25,26,False
22,84,17,44,11,62,45,94,49,41,True
74,22,7,96,101,8,35,123,119,16,False
11,71,41,70,14,26,111,54,119,5,True
94,19,52,93,28,7,9,35,99,101,False
100,75,19,37,108,9,83,36,6,27,False
123,2,35,25,73,88,23,74,121,67,True
75,7,21,97,67,26,35,41,102,74,False
126,62,7,14,26,2,28,18,6,46,True
1,27,14,39,97,79,6,42,85,84,False
14,42,86,111,99,31,48,135,123,74,False
50,71,8,6,68,10,54,63,86,59,True
25,84,9,95,22,64,29,41,28,35,True
106,63,53,40,5,33,54,29,23,135,False
59,104,14,112,21,48,68,6,45,86,False
91,14,11,84,51,45,86,10,73,9,False
88,114,34,93,30,32,10,104,25,35,True
49,25,112,41,14,64,72,111,46,59,False
21,87,11,59,57,31,98,85,53,18,False
82,120,27,35,42,41,36,100,32,10,True
96,95,69,26,112,14,37,74,70,119,False
84,4,71,110,22,28,17,27,121,93,False
1,27,69,121,21,106,29,105,26,70,False
48,70,29,90,9,30,40,4,68,35,True
27,119,16,126,8,113,71,54,105,19,True
102,48,17,87,14,84,62,119,11,8,True
84,126,119,109,41,29,104,36,99,14,False
27,23,99,42,83,77,128,82,19,50,True
67,20,74,26,129,35,101,54,33,22,False
26,2,93,11,105,13,104,42,36,27,False
55,97,20,18,93,40,19,123,72,100,True
49,59,50,9,14,92,3,78,35,86,True
32,6,58,2,41,27,48,123,70,126,True
8,6,101,28,61,112,94,22,105,83,True
123,26,36,9,10,113,21,112,14,104,True
49,32,123,84,106,72,9,17,8,121,True
11,63,50,83,33,23,109,2,64,14,True
58,35,11,108,22,99,36,90,12,70,True
42,33,114,62,99,112,72,35,104,49,True
26,63,37,35,108,32,15,44,11,23,True
49,7,42,6,108,2,16,41,74,26,True
79,15,26,30,109,104,48,43,39,128,True
114,53,59,74,126,26,49,48,16,21,True
37,99,11,74,44,129,119,21,8,87,True
20,6,26,126,44,99,50,128,95,106,True
49,71,62,119,107,84,35,135,18,6,True
37,97,14,63,7,15,119,1,101,68,True
93,25,5,35,99,16,30,8,26,44,False
26,123,46,93,96,62,119,74,48,110,False
11,34,10,25,62,71,35,101,16,81,True
25,41,30,47,99,6,44,9,35,74,False
9,53,112,6,97,88,84,67,99,52,False
26,30,72,67,135,75,48,64,71,79,True
120,14,8,88,101,17,67,97,69,62,True
35,25,110,119,32,47,22,8,53,45,True
49,101,67,13,112,12,111,25,51,64,True
97,7,20,21,56,128,67,29,101,90,True
26,104,42,94,30,8,80,101,98,14,False
126,83,73,36,41,32,6,40,47,99,False
120,21,41,13,71,53,44,79,98,17,False
92,48,104,87,18,35,8,123,81,30,True
84,129,64,71,60,98,75,29,35,74,True
47,64,33,59,4,114,79,72,29,38,True
81,107,83,96,26,5,63,84,59,35,True
93,86,46,57,121,105,67,104,74,112,True
78,73,128,110,87,4,5,23,32,48,False
6,62,27,29,94,72,9,34,83,99,False
26,92,110,78,42,128,120,112,48,11,False
74,54,4,82,129,77,26,18,119,70,True
31,109,106,22,100,5,37,2,123,17,False
10,57,99,42,75,61,28,121,9,6,False
8,104,105,83,35,81,16,47,48,10,False
40,2,87,99,48,28,8,11,30,27,True
11,35,14,20,68,93,13,75,54,22,True
63,71,126,44,33,35,40,70,62,84,True
101,10,14,49,58,35,67,44,120,74,False
104,64,84,74,72,43,135,30,21,14,True
21,5,30,41,2,53,63,17,15,26,True
81,87,21,22,14,30,46,59,105,32,True
43,69,64,5,54,11,33,81,59,4,True
21,26,8,14,35,27,18,63,33,74,False
83,62,59,75,95,81,90,11,14,104,True
41,55,52,84,14,6,59,90,107,2,True
52,85,89,35,11,14,34,40,15,54,True
104,35,14,7,93,58,74,18,48,50,True
40,123,73,35,18,46,113,92,53,44,False
48,98,68,84,40,113,111,83,123,17,False
72,29,20,112,88,87,11,111,67,2,True
29,26,68,48,69,101,2,6,75,86,True
99,105,2,25,81,102,86,10,22,126,True
105,14,48,83,99,54,26,17,120,74,True
15,50,74,44,83,112,79,2,12,26,True
51,34,48,22,72,41,74,35,30,16,False
105,81,63,75,59,119,68,21,85,102,False
41,6,42,128,57,29,98,107,52,70,True
108,112,27,8,75,107,55,16,35,6,False
5,2,44,46,68,62,9,49,17,109,True
2,35,12,5,83,84,4,29,64,22,False
15,90,8,54,112,20,83,119,6,13,True
105,2,7,46,35,71,75,36,9,18,False
83,6,57,11,106,26,41,69,59,100,True
10,70,68,21,31,2,20,7,50,67,True
48,129,14,62,45,22,41,55,49,11,False
35,10,64,20,5,47,2,50,46,30,False
88,27,109,74,113,11,85,66,32,97,True
74,90,97,9,44,53,5,49,19,84,True
90,71,1,101,30,42,50,25,70,75,False
99,14,107,8,11,46,27,64,112,35,True
85,60,99,114,50,77,35,84,11,14,False
41,64,43,9,120,98,13,71,121,93,False
74,104,70,19,26,72,31,17,71,14,True
96,31,68,13,54,63,29,112,84,35,False
74,33,88,7,41,49,54,6,2,34,True
94,98,71,20,6,70,101,14,75,73,True
109,2,21,46,37,86,94,52,120,111,True
27,109,22,85,62,71,1,31,75,47,True
67,2,126,123,5,69,85,21,37,48,True
74,73,123,26,96,85,40,11,33,1,False
46,67,49,68,111,90,86,19,92,30,True
43,135,9,114,6,32,87,8,64,36,False
7,119,12,49,5,68,19,15,9,84,True
11,6,28,101,105,12,76,102,98,34,False
102,11,56,87,62,51,22,2,14,1,False
56,14,43,21,30,32,128,51,102,35,True
66,7,8,36,26,9,32,44,75,102,False
70,7,15,26,21,2,91,30,5,93,True
8,121,120,101,99,25,98,85,11,44,True
6,26,2,11,119,20,64,43,41,16,True
4,34,94,50,119,113,31,28,10,71,True
41,45,99,25,35,93,19,31,38,106,True
8,1,41,104,74,62,11,56,105,83,True
121,41,79,60,46,101,16,27,40,48,False
108,41,114,119,37,70,101,49,96,123,False
71,51,84,35,18,94,99,90,14,95,False
48,71,135,74,63,17,21,93,69,31,True
110,79,53,104,36,29,135,98,46,35,False
37,33,11,45,36,126,86,95,65,63,False
13,69,107,1,74,9,39,27,99,19,False
10,83,40,88,105,27,21,34,12,67,False
78,28,32,54,111,8,47,93,84,26,True
36,6,102,60,90,96,123,59,41,105,False
10,91,14,48,135,71,119,94,11,104,False
74,123,67,105,23,83,36,30,99,42,False
44,71,56,126,112,101,114,90,99,121,False
11,26,1,50,28,70,13,35,104,84,False
100,39,74,44,59,68,47,84,6,15,False
67,29,53,39,69,107,126,19,1,35,True
22,26,94,1,44,23,105,42,129,14,False
25,7,68,61,54,27,3,1,74,99,False
12,34,9,8,60,94,5,99,35,1,False
77,121,8,105,26,119,54,99,43,50,False
93,9,74,16,26,6,36,13,112,121,False
66,14,128,26,81,102,12,21,53,119,False
42,32,69,68,105,76,128,104,19,1,True
36,14,32,68,55,112,41,27,48,21,False
33,68,94,26,50,30,67,98,105,74,True
21,41,49,40,76,67,6,68,98,84,False
36,19,93,45,102,107,121,29,41,129,True
23,18,37,30,97,13,33,9,107,44,False
1,74,105,96,110,26,99,94,75,84,True
9,49,93,94,36,25,30,53,6,81,True
104,23,95,64,82,84,1,35,3,80,True
121,112,2,100,18,68,109,98,26,39,True
41,106,14,5,99,59,87,86,63,48,False
46,35,88,102,74,84,13,9,26,14,False
5,44,53,40,34,86,121,114,23,59,False
9,71,109,76,14,46,93,119,92,55,False
37,109,33,123,21,106,54,58,39,98,True
123,62,26,35,96,44,47,42,30,32,True
86,17,27,110,48,68,34,41,99,26,True
68,94,16,42,86,123,114,9,104,41,False
9,103,84,44,63,75,14,42,53,51,True
5,8,58,15,59,1,44,17,25,50,False
57,113,64,1,74,88,30,93,7,106,True
3,76,28,63,119,9,1,7,105,86,False
6,74,28,2,22,72,97,68,94,98,False
108,22,1,87,75,25,129,2,94,30,False
10,99,25,48,66,81,33,67,11,50,True
89,3,13,93,55,16,1,95,96,20,False
8,71,31,25,14,9,39,3,42,51,True
112,96,35,48,14,128,86,81,26,59,True
46,78,86,58,48,26,123,45,81,42,False
8,99,71,11,110,26,42,53,25,128,True
99,26,56,50,48,101,16,8,94,135,False
74,58,104,11,84,26,5,34,18,69,True
74,54,57,72,25,78,69,13,68,6,True
88,41,34,99,50,21,74,68,44,84,True
25,10,9,2,84,75,30,40,81,11,True
22,41,30,26,82,52,17,7,9,53,False
53,72,23,5,104,68,1,13,119,129,True
32,101,36,21,5,74,49,126,9,12,False
4,47,46,91,70,69,30,18,6,101,False
106,30,135,26,10,88,25,49,68,48,False
71,20,98,48,72,94,104,30,14,105,False
4,14,41,84,104,38,81,51,91,85,False
47,82,53,26,129,28,13,21,120,17,False
79,61,84,2,54,90,29,44,11,14,False
94,70,112,47,104,96,45,54,103,9,False
105,22,71,63,93,36,62,44,126,99,True
18,29,26,21,75,73,99,9,2,94,False
21,78,73,114,87,27,26,23,14,85,True
68,14,48,104,2,113,88,20,102,23,False
18,123,99,106,27,100,30,29,1,113,True
42,33,114,62,99,112,72,35,104,49,True
26,63,37,35,108,32,15,44,11,23,True
49,7,42,6,108,2,16,41,74,26,True
79,15,26,30,109,104,48,43,39,128,True
114,53,59,74,126,26,49,48,16,21,True
37,99,11,74,44,129,119,21,8,87,True
20,6,26,126,44,99,50,128,95,106,True
49,71,62,119,107,84,35,135,18,6,True
37,97,14,63,7,15,119,1,101,68,True
93,25,5,35,99,16,30,8,26,44,False
26,123,46,93,96,62,119,74,48,110,False
11,34,10,25,62,71,35,101,16,81,True
25,41,30,47,99,6,44,9,35,74,False
9,53,112,6,97,88,84,67,99,52,False
26,30,72,67,135,75,48,64,71,79,True
120,14,8,88,101,17,67,97,69,62,True
35,25,110,119,32,47,22,8,53,45,True
49,101,67,13,112,12,111,25,51,64,True
97,7,20,21,56,128,67,29,101,90,True
26,104,42,94,30,8,80,101,98,14,False
126,83,73,36,41,32,6,40,47,99,False
120,21,41,13,71,53,44,79,98,17,False
92,48,104,87,18,35,8,123,81,30,True
84,129,64,71,60,98,75,29,35,74,True
47,64,33,59,4,114,79,72,29,38,True
81,107,83,96,26,5,63,84,59,35,True
93,86,46,57,121,105,67,104,74,112,True
18,112,21,108,39,123,17,64,47,60,True
1,88,129,25,101,83,26,54,126,68,False
99,31,123,95,20,114,22,47,71,44,False
98,22,72,92,53,121,20,87,70,96,False
64,11,96,14,67,123,18,2,83,102,False
14,8,11,74,120,35,70,31,40,114,True
86,119,48,22,108,93,64,35,25,74,False
14,26,28,93,112,70,9,56,27,49,True
75,99,126,44,37,52,6,35,105,67,False
8,96,17,14,47,29,27,13,54,121,True
8,53,105,129,41,1,84,123,14,69,True
90,75,35,31,41,56,51,123,69,105,False
51,73,108,99,18,92,21,106,62,59,True
36,76,8,88,69,58,35,54,84,2,False
46,101,54,30,120,135,8,83,26,11,False
30,114,28,11,33,85,17,5,104,1,False
94,84,79,128,112,62,26,15,34,71,True
8,86,11,107,61,27,2,13,70,74,True
42,48,76,94,39,105,21,112,63,101,True
112,35,32,26,29,101,40,88,104,1,True
71,119,28,23,95,104,121,11,56,86,True
9,76,75,1,49,72,25,8,26,16,False
119,84,102,1,20,87,35,99,94,105,True
102,81,121,21,17,27,6,46,80,50,True
18,74,61,104,26,88,69,59,33,36,True
109,100,26,49,121,36,104,84,54,91,True
2,57,113,34,14,74,5,97,1,28,True
23,99,104,74,54,12,37,114,18,35,True
45,86,53,93,84,72,71,34,18,76,False
10,98,104,4,27,26,46,129,18,68,False
23,10,31,42,85,68,71,69,13,48,False
25,99,88,18,104,14,42,1,84,89,False
8,2,86,6,83,5,4,121,113,35,True
44,91,18,9,22,33,101,50,32,7,False
1,9,106,119,2,43,67,114,14,26,True
123,48,104,54,77,18,32,62,5,101,False
36,27,4,20,123,42,17,88,35,99,True
25,99,29,100,108,74,7,58,70,28,True
126,103,67,128,19,23,51,48,26,70,False
11,27,48,14,96,26,106,129,30,63,True
84,30,42,35,64,1,128,7,14,94,False
36,68,21,135,26,106,14,6,104,83,True
50,28,64,54,34,41,29,74,84,119,False
21,2,84,44,67,123,75,53,35,50,False
6,111,39,76,42,14,26,2,29,104,True
104,9,32,54,18,48,51,37,41,13,False
1,61,30,126,27,62,54,84,94,33,True
2,79,21,68,102,44,14,105,1,91,True
76,123,18,30,13,105,50,14,63,21,True
45,31,121,96,111,68,109,126,74,104,False
120,68,30,2,93,23,14,5,94,79,True
101,47,96,71,70,46,21,76,41,12,False
33,25,99,26,44,135,1,35,19,14,True
129,34,93,121,71,5,100,17,75,72,True
27,106,48,110,14,1,26,75,67,22,False
119,25,51,42,36,9,35,73,49,48,False
69,121,21,14,72,126,96,35,27,42,True
31,6,37,53,84,2,67,34,25,86,False
110,79,53,104,36,29,135,98,46,35,False
37,33,11,45,36,126,86,95,65,63,False
13,69,107,1,74,9,39,27,99,19,False
10,83,40,88,105,27,21,34,12,67,False
78,28,32,54,111,8,47,93,84,26,True
36,6,102,60,90,96,123,59,41,105,False
10,91,14,48,135,71,119,94,11,104,False
74,123,67,105,23,83,36,30,99,42,False
44,71,56,126,112,101,114,90,99,121,False
11,26,1,50,28,70,13,35,104,84,False
100,39,74,44,59,68,47,84,6,15,False
67,29,53,39,69,107,126,19,1,35,True
22,26,94,1,44,23,105,42,129,14,False
25,7,68,61,54,27,3,1,74,99,False
12,34,9,8,60,94,5,99,35,1,False
77,121,8,105,26,119,54,99,43,50,False
93,9,74,16,26,6,36,13,112,121,False
66,14,128,26,81,102,12,21,53,119,False
42,32,69,68,105,76,128,104,19,1,True
36,14,32,68,55,112,41,27,48,21,False
33,68,94,26,50,30,67,98,105,74,True
21,41,49,40,76,67,6,68,98,84,False
36,19,93,45,102,107,121,29,41,129,True
23,18,37,30,97,13,33,9,107,44,False
1,74,105,96,110,26,99,94,75,84,True
9,49,93,94,36,25,30,53,6,81,True
104,23,95,64,82,84,1,35,3,80,True
121,112,2,100,18,68,109,98,26,39,True
41,106,14,5,99,59,87,86,63,48,False
46,35,88,102,74,84,13,9,26,14,False
5,44,53,40,34,86,121,114,23,59,False
9,71,109,76,14,46,93,119,92,55,False
37,109,33,123,21,106,54,58,39,98,True
123,62,26,35,96,44,47,42,30,32,True
86,17,27,110,48,68,34,41,99,26,True
68,94,16,42,86,123,114,9,104,41,False
9,103,84,44,63,75,14,42,53,51,True
5,8,58,15,59,1,44,17,25,50,False
57,113,64,1,74,88,30,93,7,106,True
3,76,28,63,119,9,1,7,105,86,False
3,72,27,126,32,23,57,8,42,34,False
12,31,123,7,26,28,44,20,112,46,False
94,15,23,109,79,19,11,104,4,26,True
87,32,21,41,64,35,39,62,59,123,True
34,111,97,86,67,84,50,98,17,42,True
68,2,9,4,47,22,74,63,29,71,False
29,50,20,70,82,106,27,5,94,112,True
32,75,70,119,44,11,101,63,26,74,True
86,109,53,22,7,29,19,17,91,73,True
30,59,27,47,72,129,9,67,100,34,True
123,75,41,5,11,55,8,84,20,96,True
104,2,83,121,21,98,74,30,4,68,False
63,25,27,98,35,32,113,14,26,42,True
54,53,50,38,26,21,22,35,105,113,True
120,98,73,100,8,27,11,105,18,41,False
61,16,98,48,5,53,34,101,82,102,True
5,8,128,35,19,34,94,135,26,50,True
14,9,11,26,44,21,84,17,67,113,False
80,8,64,101,34,33,40,11,44,49,True
13,123,35,99,27,64,44,104,105,14,True
29,40,12,21,101,6,26,17,44,84,False
14,37,4,8,21,84,72,10,45,1,False
30,84,108,65,41,8,119,35,110,9,True
104,109,14,35,103,26,61,30,84,6,True
69,68,21,81,64,13,19,27,112,67,True
57,53,42,73,85,34,121,71,44,26,True
59,129,68,83,6,35,114,85,29,30,True
8,121,14,78,111,11,104,56,9,84,True
93,48,39,34,67,25,99,119,54,26,True
101,21,104,49,88,46,61,10,30,67,False
88,12,90,6,45,4,33,114,121,18,True
11,28,109,84,135,26,6,78,121,22,True
23,129,27,73,128,31,84,93,13,98,True
5,104,70,8,64,59,52,73,22,12,True
56,98,20,74,120,69,46,13,2,8,False
65,35,85,28,32,38,5,12,1,39,False
74,65,49,86,99,123,53,8,51,23,False
71,22,101,96,12,5,6,99,105,32,True
94,77,100,48,68,49,18,52,71,11,False
12,32,119,60,120,14,72,68,94,44,False
39,119,5,94,49,70,86,71,99,101,True
85,44,121,101,106,135,11,5,18,119,False
76,16,75,93,25,1,26,71,41,11,True
105,14,71,107,54,22,83,95,42,53,False
7,30,62,68,112,64,59,72,8,29,True
36,56,49,40,109,107,93,135,71,74,True
41,48,65,35,103,70,38,129,91,32,True
63,62,41,84,102,35,83,104,82,8,False
56,5,39,93,110,114,104,75,22,1,True
